veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
7,Karlshamn,0,0,0,0
7,Karlskoga,0,0,0,0
7,Karlskrona,0,0,0,0
7,Karlstad,0,0,0,0
7,Katrineholm,0,0,0,0
7,Kil,0,0,0,0
7,Kinda,0,0,0,0
7,Kiruna,0,0,0,0
7,Klippan,0,0,0,0
7,Knivsta,0,0,0,0
7,Kramfors,0,0,0,0
7,Kristianstad,0,0,0,0
7,Kristinehamn,0,0,0,0
7,Krokom,0,0,0,0
7,Kumla,0,0,0,0
7,Kungsbacka,0,0,0,0
7,Kungsör,0,0,0,0
7,Kungälv,0,0,0,0
7,Kävlinge,0,0,0,0
7,Köping,0,0,0,0
7,Laholm,0,0,0,0
7,Landskrona,0,0,0,0
7,Laxå,0,0,0,0
7,Lekeberg,0,0,0,0
7,Leksand,0,0,0,0
7,Lerum,0,0,0,0
7,Lessebo,0,0,0,0
7,Lidingö,0,0,0,0
7,Lidköping,0,0,0,0
7,Lilla Edet,0,0,0,0
7,Lindesberg,0,0,0,0
7,Linköping,0,0,0,0
7,Ljungby,0,0,0,0
7,Ljusdal,0,0,0,0
7,Ljusnarsberg,0,0,0,0
7,Lomma,0,0,0,0
7,Ludvika,0,0,0,0
7,Luleå,0,0,0,0
7,Lund,0,0,0,0
7,Lycksele,0,0,0,0
7,Lysekil,0,0,0,0
7,Malmös kmn Kirseberg,0,0,0,0
7,Malmö Fosie,0,0,0,0
7,Malmö Södra Innerstaden,0,0,0,0
7,Malmö Västra Innerstaden,0,0,0,0
7,Malmö kommun Centrum,0,0,0,0
7,Malmö Rosengård,0,0,0,0
7,Malmö Hyllie,0,0,0,0
7,Malmö Husie,0,0,0,0
7,Malmö Limhamn-Bunkeflo,0,0,0,0
7,Malmö Oxie,0,0,0,0
7,Malung,0,0,0,0
7,Malå,0,0,0,0
7,Mariestad,0,0,0,0
7,Mark,0,0,0,0
7,Markaryd,0,0,0,0
7,Mellerud,0,0,0,0
7,Mjölby,0,0,0,0
7,Mora,0,0,0,0
7,Motala,0,0,0,0
7,Mullsjö,0,0,0,0
7,Munkedal,0,0,0,0
7,Munkfors,0,0,0,0
7,Mölndal,0,0,0,0
7,Mönsterås,0,0,0,0
7,Mörbylånga,0,0,0,0
7,Nacka,0,0,0,0
7,Nora,0,0,0,0
7,Norberg,0,0,0,0
7,Nordanstig,0,0,0,0
7,Nordmaling,0,0,0,0
7,Norrköping,0,0,0,0
7,Norrtälje,0,0,0,0
7,Norsjö,0,0,0,0
